player,position,team,is_active,year_signed,years,value,apy,player_page,otc_id,height,weight,college,draft_year,draft_round,draft_overall,draft_team
Deandre Johnson,IDL,Dolphins,TRUE,2022,3,2560000,853333,https://overthecap.com/player/deandre-johnson/10483/,10483,"6'3""",252,Miami,2022,NA,NA,Dolphins
Ben Stille,IDL,Dolphins,TRUE,2022,3,2560000,853333,https://overthecap.com/player/ben-stille/10517/,10517,"6'4""",300,Nebraska,2022,NA,NA,Dolphins
Kurt Hinish,IDL,Texans,TRUE,2022,3,2560000,853333,https://overthecap.com/player/kurt-hinish/10541/,10541,"6'2""",302,Notre Dame,2022,NA,NA,Texans
Damion Daniels,IDL,Texans,TRUE,2022,3,2560000,853333,https://overthecap.com/player/damion-daniels/10518/,10518,"6'2""",302,Nebraska,2022,NA,NA,Texans
Haskell Garrett,IDL,Titans,TRUE,2022,3,2560000,853333,https://overthecap.com/player/haskell-garrett/10750/,10750,"6'2""",300,Ohio State,2022,NA,NA,Titans
Trevon Mason,IDL,Steelers,TRUE,2022,3,2560000,853333,https://overthecap.com/player/trevon-mason/10781/,10781,"6'6""",290,Arizona,2022,NA,NA,Steelers
Mike Greene,IDL,Buccaneers,TRUE,2022,3,2560000,853333,https://overthecap.com/player/mike-greene/10788/,10788,"6'2""",281,James Madison,2022,NA,NA,Buccaneers
Josh Black,IDL,Saints,TRUE,2022,3,2560000,853333,https://overthecap.com/player/josh-black/10794/,10794,"6'3""",284,Syracuse,2022,NA,NA,Saints
LaBryan Ray,IDL,Patriots,TRUE,2022,3,2560000,853333,https://overthecap.com/player/labryan-ray/10313/,10313,"6'4""",286,Alabama,2022,NA,NA,Patriots
Adedayo Odeleye,IDL,Texans,TRUE,2022,3,2560000,853333,https://overthecap.com/player/adedayo-odeleye/10742/,10742,"6'5""",271,NA,2022,NA,NA,Texans
Renell Wren,IDL,Eagles,TRUE,2022,1,850000,850000,https://overthecap.com/player/renell-wren/7916/,7916,"6'6""",297,Arizona State,2019,4,125,Bengals
Michael Hoecht,IDL,Rams,TRUE,2021,2,1485000,742500,https://overthecap.com/player/michael-hoecht/9215/,9215,"6'4""",310,Brown,2020,NA,NA,Rams
Sam Kamara,IDL,Bears,TRUE,2021,2,1485000,742500,https://overthecap.com/player/sam-kamara/9873/,9873,"6'2""",275,Stony Brook,2021,NA,NA,Bears
Breiden Fehoko,IDL,Chargers,TRUE,2021,2,1485000,742500,https://overthecap.com/player/breiden-fehoko/9080/,9080,"6'2""",291,Louisiana State,2020,NA,NA,Chargers
Marquise Copeland,IDL,Rams,TRUE,2021,2,1485000,742500,https://overthecap.com/player/marquise-copeland/8477/,8477,"6'2""",290,Cincinnati,2019,NA,NA,Rams
Naquan Jones,IDL,Titans,TRUE,2021,1,1485000,742500,https://overthecap.com/player/naquan-jones/9800/,9800,"6'4""",340,Michigan State,2021,NA,NA,Titans
David Moa,IDL,Giants,TRUE,2022,1,832000,832000,https://overthecap.com/player/david-moa/9166/,9166,"6'3""",296,Boise State,2020,NA,NA,Vikings
Jamal Davis,IDL,Chargers,TRUE,2022,1,827500,827500,https://overthecap.com/player/jamal-davis/8323/,8323,"6'3""",233,Akron,2019,NA,NA,Texans
Chris Williams,IDL,Colts,TRUE,2022,1,825000,825000,https://overthecap.com/player/chris-williams/9180/,9180,"6'2""",302,Wagner,2020,NA,NA,Colts
Forrest Merrill,IDL,Chargers,TRUE,2022,1,825000,825000,https://overthecap.com/player/forrest-merrill/9825/,9825,"6'1""",338,Arkansas State,2021,NA,NA,Chargers
Bunmi Rotimi,IDL,Commanders,TRUE,2022,1,825000,825000,https://overthecap.com/player/bunmi-rotimi/7417/,7417,"6'4""",275,Old Dominion,2018,NA,NA,Bears
Benito Jones,IDL,Dolphins,TRUE,2022,1,825000,825000,https://overthecap.com/player/benito-jones/9372/,9372,"6'1""",329,Mississippi,2020,NA,NA,Dolphins
Auzoyah Alufohai,IDL,Bears,TRUE,2022,1,825000,825000,https://overthecap.com/player/auzoyah-alufohai/9036/,9036,"6'4""",320,Kennesaw State,2020,NA,NA,Texans
Michael Dwumfour,IDL,Texans,TRUE,2022,1,825000,825000,https://overthecap.com/player/michael-dwumfour/9745/,9745,"6'1""",296,Rutgers,2021,NA,NA,Jets
Raequan Williams,IDL,Jaguars,TRUE,2022,1,825000,825000,https://overthecap.com/player/raequan-williams/9132/,9132,"6'4""",303,Michigan State,2020,NA,NA,Eagles
Daniel Wise,IDL,Commanders,TRUE,2022,1,825000,825000,https://overthecap.com/player/daniel-wise/8461/,8461,"6'3""",281,Kansas,2019,NA,NA,Cowboys
Jack Heflin,IDL,Packers,TRUE,2022,1,825000,825000,https://overthecap.com/player/jack-heflin/9893/,9893,"6'4""",312,Iowa,2021,NA,NA,Packers
Nick Thurman,IDL,Falcons,TRUE,2022,1,825000,825000,https://overthecap.com/player/nick-thurman/7589/,7589,"6'4""",295,University of Houston,2018,NA,NA,Texans
Tershawn Wharton,IDL,Chiefs,TRUE,2020,3,2290000,763333,https://overthecap.com/player/tershawn-wharton/9070/,9070,"6'4""",255,Missouri S&T,2020,NA,NA,Chiefs
Marvin Wilson,IDL,Eagles,TRUE,2022,2,1575000,787500,https://overthecap.com/player/marvin-wilson/9759/,9759,"6'5""",305,Florida State,2021,NA,NA,Browns
Marquiss Spencer,IDL,Broncos,TRUE,2022,2,1575000,787500,https://overthecap.com/player/marquiss-spencer/9717/,9717,"6'4""",300,Mississippi State,2021,7,253,Broncos
Austin Faoliu,IDL,Cowboys,TRUE,2022,2,1575000,787500,https://overthecap.com/player/austin-faoliu/9853/,9853,"6'3""",300,Oregon,2021,NA,NA,Cowboys
Jonathan Kongbo,IDL,Broncos,TRUE,2022,2,1575000,787500,https://overthecap.com/player/jonathan-kongbo/8641/,8641,"6'5""",254,Tennessee,2020,NA,NA,NA
Elijah Ponder,IDL,Buccaneers,TRUE,2022,2,1575000,787500,https://overthecap.com/player/elijah-ponder/9994/,9994,"6'3""",275,Cincinnati,2021,NA,NA,Buccaneers
Benning Potoa'e,IDL,Buccaneers,TRUE,2022,2,1575000,787500,https://overthecap.com/player/benning-potoae/9189/,9189,"6'3""",291,Washington,2020,NA,NA,Buccaneers
Willington Previlon,IDL,Buccaneers,TRUE,2022,2,1575000,787500,https://overthecap.com/player/willington-previlon/9148/,9148,"6'5""",295,Rutgers,2020,NA,NA,Packers
Byron Cowart,IDL,Patriots,TRUE,2019,4,2820596,705149,https://overthecap.com/player/byron-cowart/7950/,7950,"6'4""",293,Maryland,2019,5,159,Patriots
Armon Watts,IDL,Vikings,TRUE,2019,4,2689096,672274,https://overthecap.com/player/armon-watts/7981/,7981,"6'5""",298,Arkansas,2019,6,190,Vikings
David Bada,IDL,Commanders,TRUE,2022,1,705000,705000,https://overthecap.com/player/david-bada/9427/,9427,"6'5""",287,NA,2020,NA,NA,Commanders
Chris Slayton,IDL,Packers,TRUE,2022,1,705000,705000,https://overthecap.com/player/chris-slayton/8036/,8036,"6'4""",309,Syracuse,2019,7,245,Giants
Kameron Cline,IDL,Colts,TRUE,2022,1,705000,705000,https://overthecap.com/player/kameron-cline/9114/,9114,"6'4""",270,South Dakota,2020,NA,NA,Colts
Delontae Scott,IDL,Steelers,TRUE,2022,1,705000,705000,https://overthecap.com/player/delontae-scott/9150/,9150,"6'5""",250,Southern MEthodist,2020,NA,NA,Packers
Aaron Crawford,IDL,Ravens,TRUE,2022,1,705000,705000,https://overthecap.com/player/aaron-crawford/9335/,9335,"6'2""",290,North Carolina,2020,NA,NA,Ravens
Daniel Archibong,IDL,Steelers,TRUE,2022,1,705000,705000,https://overthecap.com/player/daniel-archibong/9874/,9874,"6'6""",300,Temple,2021,NA,NA,Bears
Tyler Clark,IDL,Commanders,TRUE,2022,1,705000,705000,https://overthecap.com/player/tyler-clark/9109/,9109,"6'4""",300,Georgia,2020,NA,NA,Bengals
Lacale London,IDL,Bears,TRUE,2022,1,705000,705000,https://overthecap.com/player/lacale-london/9411/,9411,"6'5""",280,Western Illinois,2020,NA,NA,Bears
Jonathan Ledbetter,IDL,Cardinals,TRUE,2022,1,705000,705000,https://overthecap.com/player/jonathan-ledbetter/8250/,8250,"6'4""",280,Georgia,2019,NA,NA,Dolphins
Jarrod Hewitt,IDL,Seahawks,TRUE,2022,1,705000,705000,https://overthecap.com/player/jarrod-hewitt/9976/,9976,"6'1""",280,Virginia Tech,2021,NA,NA,Seahawks
Bill Murray,IDL,Patriots,TRUE,2022,1,705000,705000,https://overthecap.com/player/bill-murray/9277/,9277,"6'4""",280,William & Mary,2020,NA,NA,Patriots
T.J. Smith,IDL,Vikings,TRUE,2022,1,705000,705000,https://overthecap.com/player/t-j-smith/9089/,9089,"6'3""",293,Arkansas,2020,NA,NA,Chargers
Tyler Lancaster,IDL,Raiders,TRUE,2022,1,0,0,https://overthecap.com/player/tyler-lancaster/7445/,7445,"6'3""",313,Northwestern,2018,NA,NA,Packers
Morgan Fox,IDL,Chargers,TRUE,2022,1,0,0,https://overthecap.com/player/morgan-fox/5191/,5191,NA,NA,Colorado State-Pueblo,2016,NA,NA,Rams
Brent Urban,IDL,Ravens,TRUE,2022,1,0,0,https://overthecap.com/player/brent-urban/3073/,3073,"6'7""",295,Virginia,2014,4,134,Ravens
T.J. Watt,ED,Steelers,TRUE,2021,4,112011000,28002750,https://overthecap.com/player/t-j-watt/5614/,5614,"6'4""",252,Wisconsin,2017,1,30,Steelers
Joey Bosa,ED,Chargers,TRUE,2020,5,135000000,27000000,https://overthecap.com/player/joey-bosa/4716/,4716,"6'5""",269,Ohio State,2016,1,3,Chargers
Khalil Mack,ED,CHI/LAC,TRUE,2018,6,141000000,23500000,https://overthecap.com/player/khalil-mack/2944/,2944,"6'3""",251,Buffalo,2014,1,5,Raiders
Myles Garrett,ED,Browns,TRUE,2020,5,125000000,25000000,https://overthecap.com/player/myles-garrett/5585/,5585,"6'4""",272,Texas A&M,2017,1,1,Browns
Maxx Crosby,ED,Raiders,TRUE,2022,4,94000000,23500000,https://overthecap.com/player/maxx-crosby/7897/,7897,"6'5""",247,Eastern Michigan,2019,4,106,Raiders
Von Miller,ED,Bills,TRUE,2022,6,120000000,20000000,https://overthecap.com/player/von-miller/2/,2,"6'3""",250,Texas A&M,2011,1,2,Broncos
Shaquil Barrett,ED,Buccaneers,TRUE,2021,4,68000000,17000000,https://overthecap.com/player/shaquil-barrett/3340/,3340,"6'1""",260,Colorado State,2014,NA,NA,Broncos
Cameron Jordan,ED,Saints,TRUE,2019,3,52500000,17500000,https://overthecap.com/player/cameron-jordan/1481/,1481,"6'4""",287,California,2011,1,24,Saints
Bud Dupree,ED,Titans,TRUE,2021,5,82500000,16500000,https://overthecap.com/player/bud-dupree/3870/,3870,"6'4""",269,Kentucky,2015,1,22,Steelers
