ID,OffensiveYardarge,RB,TE,Down,ToGo,TotalToGo,Formation,EPA,RusherStrength,BlockerStrength,DefenderStrength
5402,7,1,1,1,10,57,3-4,0.3605,0.009620583780923406,0.034712080305243136,0.02612628009527837
5404,6,1,1,3,3,50,3-4,0.961829,0.009620583780923406,0.034712080305243136,0.022527157183145213
5406,5,1,1,2,3,37,3-4,0.409563,0.009620583780923406,0.034712080305243136,0.025068226006034672
5408,-1,1,1,2,8,30,3-4,-0.581429,0.009620583780923406,0.034712080305243136,0.024693395852467714
5414,5,1,1,1,10,39,3-4,-0.03893,0.01625963808332278,0.0361047542210841,0.02494922128574213
5415,14,1,1,2,5,34,3-4,1.09225,0.01625963808332278,0.0361047542210841,0.01169998665260779
5422,7,1,1,2,6,60,3-4,0.549286,0.009620583780923406,0.034712080305243136,0.02969075780742726
5426,3,1,1,1,10,32,3-4,-0.165646,0.009620583780923406,0.034712080305243136,0.02519185416726081
5430,-2,1,1,1,10,74,3-4,-0.874528,0.01625963808332278,0.0361047542210841,0.02947576114879219
5433,12,1,1,1,10,33,3-4,0.699585,0.01625963808332278,0.0361047542210841,0.010926835143491128
5441,2,1,1,3,2,79,3-4,0.710384,0.009620583780923406,0.034712080305243136,0.02388148731981813
5454,-1,1,2,1,10,47,3-4,-0.607997,0.01625963808332278,0.0361047542210841,0.026389034194861234
5455,-1,1,2,2,11,48,3-4,-1.160921,0.01625963808332278,0.0361047542210841,0.026389034194861234
5456,10,1,2,1,10,75,3-4,0.651883,0.03386908499876763,0.03974394314988115,0.015294935190135278
5458,11,1,2,2,5,60,0-0,0.712261,0.03386908499876763,0.03974394314988115,0.015294935190135278
5459,14,1,2,1,10,49,0-0,0.772785,0.03386908499876763,0.03974394314988115,0.012235948152108222
5461,-2,1,2,2,7,32,3-4,-0.747997,0.03386908499876763,0.03974394314988115,0.020742891988345846
5463,7,1,1,1,10,21,0-0,0.280569,0.03386908499876763,0.03974394314988115,0.01836012185819485
5467,6,1,1,2,10,75,3-4,0.076485,0.0190038838273121,0.04132343770290404,0.014641923394581553
5473,5,1,2,1,10,60,3-4,0.104071,0.03386908499876763,0.03974394314988115,0.019685592715973824
5479,7,1,1,2,4,69,3-4,0.426005,0.0190038838273121,0.04132343770290404,0.01830240424322694
5485,-3,1,2,2,2,59,3-4,-1.514146,0.03386908499876763,0.03974394314988115,0.01683754660209611
5489,0,1,2,1,10,58,3-4,-0.458181,0.0190038838273121,0.04132343770290404,0.01243567564090053
5492,3,1,2,1,10,41,3-4,-0.243789,0.0190038838273121,0.04132343770290404,0.01830240424322694
5496,3,1,1,1,10,75,0-0,-0.233178,0.03386908499876763,0.03974394314988115,0.018700972563609836
5500,3,1,3,1,10,49,3-4,-0.189391,0.03386908499876763,0.03974394314988115,0.017469278835328478
5502,0,1,1,3,2,41,3-4,-1.616646,0.03386908499876763,0.03974394314988115,0.024049493269233658
5505,2,1,3,1,10,75,3-4,-0.359615,0.0190038838273121,0.04132343770290404,0.014834953294980673
5512,16,1,1,1,10,52,3-4,0.898731,0.03386908499876763,0.03974394314988115,0.016594313590676677
5513,3,1,1,1,10,36,3-4,-0.18631,0.03386908499876763,0.03974394314988115,0.020742891988345846
5520,5,1,1,1,10,75,3-4,0.138211,0.0190038838273121,0.04132343770290404,0.01830240424322694
5522,5,1,1,1,10,65,3-4,0.088402,0.0190038838273121,0.04132343770290404,0.01830240424322694
5523,5,2,1,1,10,45,3-4,0.009226,0.0190038838273121,0.04132343770290404,0.015544594551125664
5525,4,2,1,1,10,28,3-4,-0.082944,0.0190038838273121,0.04132343770290404,0.015544594551125664
5529,1,1,1,2,2,67,0-0,-0.90724,0.03386908499876763,0.03974394314988115,0.015294935190135278
5530,2,1,1,3,1,66,3-4,0.733722,0.03386908499876763,0.03974394314988115,0.015294935190135278
5531,6,1,1,1,10,64,0-0,0.321363,0.03386908499876763,0.03974394314988115,0.014863797949460888
5533,21,2,1,1,10,48,3-4,1.261621,0.03386908499876763,0.03974394314988115,0.01857170082072839
5534,3,2,1,1,10,27,3-4,-0.153488,0.03386908499876763,0.03974394314988115,0.018793394398169842
5540,40,2,2,1,10,75,3-4,2.183315,0.0190038838273121,0.04132343770290404,0.01830240424322694
5541,18,1,2,1,10,35,3-4,1.086095,0.0190038838273121,0.04132343770290404,0.01830240424322694
5548,2,1,1,1,10,61,3-4,-0.266068,0.03386908499876763,0.03974394314988115,0.020742891988345846
5556,18,2,1,1,10,77,3-4,0.997789,0.0190038838273121,0.04132343770290404,0.01243567564090053
5557,6,2,1,1,10,59,3-4,0.133274,0.0190038838273121,0.04132343770290404,0.015209636399497546
5559,2,1,3,1,10,48,3-4,-0.300005,0.0190038838273121,0.04132343770290404,0.01830240424322694
5560,9,2,2,2,8,46,3-4,0.805291,0.0190038838273121,0.04132343770290404,0.01830240424322694
5561,3,2,1,1,10,37,3-4,-0.260301,0.0190038838273121,0.04132343770290404,0.01830240424322694
5562,-3,1,1,2,7,34,3-4,-4.704496,0.0190038838273121,0.04132343770290404,0.01830240424322694
5566,4,1,2,4,1,54,0-0,2.252619,0.03386908499876763,0.03974394314988115,0.01815476149969808
5568,6,1,2,1,10,30,3-4,0.263639,0.03386908499876763,0.03974394314988115,0.0187079199314957
5573,5,2,1,2,5,77,3-4,0.538769,0.0190038838273121,0.04132343770290404,0.014641923394581553
5574,-1,2,2,1,10,72,3-4,-0.702672,0.0190038838273121,0.04132343770290404,0.014641923394581553
5575,-1,2,2,2,11,73,3-4,-0.843605,0.0190038838273121,0.04132343770290404,0.014641923394581553
5577,5,1,1,1,10,51,3-4,0.046831,0.02535778839844347,0.032744063197543756,0.027627499998042978
5578,4,1,3,2,5,46,3-4,0.216008,0.02535778839844347,0.032744063197543756,0.029195952911548917
5579,0,1,3,3,1,42,3-4,-1.834089,0.02535778839844347,0.032744063197543756,0.029195952911548917
5582,6,1,1,1,10,26,3-4,0.229099,0.02535778839844347,0.032744063197543756,0.020600185303225712
5585,3,1,2,1,10,75,4-3,-0.221613,0.02841837990600531,0.04269592179098982,0.032624899923164086
5586,10,2,1,2,7,72,3-4,0.975518,0.02841837990600531,0.04269592179098982,0.03142921954827857
5589,4,1,1,1,10,33,3-4,-0.065912,0.02841837990600531,0.04269592179098982,0.034745098643849844
5590,0,1,1,2,6,29,3-4,-0.556985,0.02841837990600531,0.04269592179098982,0.03899283774804928
5598,3,1,2,1,10,71,3-4,-0.199292,0.02841837990600531,0.04269592179098982,0.032624899923164086
5602,3,2,0,2,1,51,4-3,0.134093,0.02841837990600531,0.04269592179098982,0.036950714360682924
5604,3,1,1,2,10,48,4-3,-0.519533,0.02841837990600531,0.04269592179098982,0.036950714360682924
5606,2,1,2,1,10,38,3-4,-0.378268,0.02841837990600531,0.04269592179098982,0.03309409216011299
5614,6,1,2,1,10,22,3-4,0.141592,0.02841837990600531,0.04269592179098982,0.032624899923164086
5630,6,1,2,2,9,74,3-4,0.076428,0.02841837990600531,0.04269592179098982,0.03142921954827857
5632,6,1,1,1,10,79,3-4,0.289865,0.02535778839844347,0.032744063197543756,0.027627499998042978
5633,3,1,1,2,4,73,3-4,-0.161405,0.02535778839844347,0.032744063197543756,0.027627499998042978
5634,3,1,1,3,1,70,3-4,0.628573,0.02535778839844347,0.032744063197543756,0.027627499998042978
5642,2,1,1,1,10,65,3-4,-0.295449,0.02841837990600531,0.04269592179098982,0.034745098643849844
5643,3,2,1,2,8,63,3-4,-0.368014,0.02841837990600531,0.04269592179098982,0.034745098643849844
5647,1,1,1,2,10,28,3-4,-0.484555,0.02535778839844347,0.032744063197543756,0.027627499998042978
