PlayerId,Player,RosterPosition,RunDefSnaps,RunDefPoints,PassRushSnaps,PassRushPoints,PassCovSnaps,PassCovPoints,RunDefPPS,PassRushPPS,PassCovPPS,RunDefTRUE,PassRushTRUE,PassCovTRUE
6626,Emmanuel Moseley,CB,102,3,4,0,189,9,0.029411764705882353,0,0.047619047619047616,0.019734296401393008,0,0.041579076020532874
4963,Tre'Davious White,CB,113,6,2,0,179,12,0.05309734513274336,0,0.0670391061452514,0.03791522201096074,0,0.05771090811391724
8498,Micah Parsons,LB,348,5,465,24,61,4,0.014367816091954023,0.05161290322580645,0.06557377049180328,0.01376016195868788,0.05034056565474311,0.0277841038487816
8358,Ifeatu Melifonwu,S,47,2,5,1,42,4,0.0425531914893617,0.2,0.09523809523809523,0.012954796030871005,9.940357852882705e-4,0.024684102262709375
5127,DeMarcus Walker,DE,137,5,255,8,1,0,0.0364963503649635,0.03137254901960784,0,0.02865389441981092,0.029026750142287987,0
839,Linval Joseph,DT,110,2,72,1,1,0,0.01818181818181818,0.013888888888888888,0,0.012783265543288786,0.007020280811232449,0
7993,Kyle Dugger,S,245,9,45,3,425,21,0.036734693877551024,0.06666666666666667,0.04941176470588235,0.033782748582809864,0.019094766619519095,0.047970975544208545
6885,Lonnie Johnson Jr.,S,39,-1,0,NA,115,2,-0.02564102564102564,NA,0.017391304347826087,-0.005945121951219512,NA,0.012540894220283535
354,Mario Edwards Jr,DT,104,7,314,6,8,0,0.0673076923076923,0.01910828025477707,0,0.045728643216080396,0.018131074968722932,0
7387,Taylor Rapp,S,356,13,23,2,560,8,0.03651685393258427,0.08695652173913043,0.014285714285714285,0.035036186900039366,0.008285302593659942,0.014036846722646948
3473,Roy Robertson-Harris,DT,301,10,365,10,4,1,0.03322259136212625,0.0273972602739726,0.25,0.03138620675272675,0.026336676527888014,7.968127490039841e-4
7601,Chris Claybrooks,CB,14,0,0,NA,30,-2,0,NA,-0.06666666666666667,0,NA,-0.01011804384485666
9114,Travon Walker,LB,279,7,391,11,69,8,0.025089605734767026,0.028132992327365727,0.11594202898550725,0.023496150144369586,0.027174737161342496,0.05615462868769074
9311,Jaylon Jones,CB,179,12,4,0,248,-3,0.0670391061452514,0,-0.012096774193548387,0.05771090811391724,0,-0.011145733461169701
6459,DeShon Elliott,S,312,15,23,1,475,8,0.04807692307692308,0.043478260869565216,0.016842105263157894,0.04558915211970075,0.004142651296829971,0.016443098225876245
2874,Randy Gregory,LB,55,1,102,8,19,-1,0.01818181818181818,0.0784313725490196,-0.05263157894736842,0.006806930693069307,0.052624790403714684,-0.003531598513011152
7537,Amani Bledsoe,DE,0,NA,1,0,0,NA,NA,0,NA,NA,0,NA
8718,Amen Ogbongbemiga,LB,8,0,1,0,4,1,0,0,0.25,0,0,7.968127490039841e-4
8611,Sam Kamara,LB,2,-1,3,0,0,NA,-0.5,0,NA,-3.9952057530962844e-4,0,NA
6842,Curtis Bolton,LB,1,0,0,NA,0,NA,0,NA,NA,0,NA,NA
3964,Mackensie Alexander,CB,7,0,0,NA,7,0,0,NA,0,0,NA,0
1239,Duron Harmon,S,394,6,33,2,590,10,0.015228426395939087,0.06060606060606061,0.01694915254237288,0.014717051609288427,0.01078079059131003,0.01668127456246996
1022,Lamarcus Joyner,S,325,11,17,2,485,27,0.033846153846153845,0.11764705882352941,0.05567010309278351,0.03222172149616945,0.006407840180927252,0.05440156204561506
3404,Artie Burns,CB,11,0,0,NA,5,-1,0,NA,-0.2,0,NA,-9.940357852882705e-4
5026,Nate Hairston,CB,2,0,0,NA,1,0,0,NA,0,0,NA,0
8852,Aidan Hutchinson,DE,344,0,532,13,24,15,0,0.02443609022556391,0.625,0,0.023967618070669123,0.06428571428571428
8134,Benning Potoa'e,DE,14,1,18,0,0,NA,0.07142857142857142,0,NA,0.0026871401151631474,0,NA
6805,Austin Bryant,DE,67,0,112,2,12,0,0,0.017857142857142856,0,0,0.012686905301314002,0
1501,Jonathan Bostic,LB,105,2,18,0,124,3,0.01904761904761905,0,0.024193548387096774,0.013019218846869188,0,0.018146341463414633
3053,Dante Fowler Jr.,DE,105,4,211,17,15,0,0.0380952380952381,0.08056872037914692,0,0.026038437693738377,0.07212659856832623,0
709,DeMarcus Lawrence,DE,260,13,396,15,11,0,0.05,0.03787878787878788,0,0.046390337633818286,0.03661874583877888,0
2900,Jordan Phillips,DT,106,3,225,2,5,0,0.02830188679245283,0.008888888888888889,0,0.019459062538245014,0.008057296329453893,0
845,Al Woods,DT,205,6,151,4,0,NA,0.02926829268292683,0.026490066225165563,NA,0.026042769426212156,0.021608471665712652,NA
541,Corey Peters,DT,128,3,123,2,1,0,0.0234375,0.016260162601626018,0,0.017850502045370024,0.012146948449535849,0
6387,Taylor Stallworth,DT,20,0,28,1,0,NA,0,0.03571428571428571,NA,0,0.004817618719889882,NA
9066,Kyle Hamilton,S,146,5,36,4,350,1,0.03424657534246575,0.1111111111111111,0.002857142857142857,0.0275867281384627,0.022741629816803537,0.002737583105201408
7409,Bryan Mone,DT,147,4,110,0,1,0,0.027210884353741496,0,0,0.021976379129914785,0,0
7332,Brian Burns,DE,344,21,496,26,59,1,0.061046511627906974,0.05241935483870968,0.01694915254237288,0.05840879689521346,0.05127389548013614,0.006908665105386416
6278,Cornell Armstrong,CB,149,6,0,NA,206,14,0.040268456375838924,NA,0.06796116504854369,0.03268738574040219,NA,0.06053482221569203
9449,Tomon Fox,LB,137,3,125,-1,37,2,0.021897810218978103,-0.008,0.05405405405405406,0.017192336651886554,-0.006024096385542169,0.011551670309085233
4448,Taco Charlton,DE,21,-1,34,0,4,0,-0.047619047619047616,0,0,-0.003844745514463567,0,0
9233,Montaric Brown,CB,20,1,1,0,41,2,0.05,0,0.04878048780487805,0.003690036900369004,0,0.012198750371913121
8780,Nick McCloud,CB,212,4,23,3,277,-1,0.018867924528301886,0.13043478260869565,-0.0036101083032490976,0.016907249381928384,0.012427953890489913,-0.0033778016242713947
5022,Tarell Basham,DE,10,0,13,1,3,0,0,0.07692307692307693,0,0,0.0025086839058278657,0
4159,Jayron Kearse,S,330,6,52,4,400,8,0.01818181818181818,0.07692307692307693,0.02,0.01733345005690274,0.026817947395564725,0.01934703748488513
6551,George Odum,S,14,0,0,NA,22,5,0,NA,0.22727272727272727,0,NA,0.019978205593897565
9332,Kingsley Jonathan,DE,8,0,8,0,0,NA,0,0,NA,0,0,NA
6539,Shaquille Leonard,LB,30,0,5,0,40,4,0,0,0.1,0,0,0.024096385542168676
443,Jeremiah Attaochu,LB,3,1,2,0,0,NA,0.3333333333333333,0,NA,5.985634477254588e-4,0,NA
3923,Vernon Butler,DT,8,0,3,0,0,NA,0,0,NA,0,0,NA
8524,Jamin Davis,LB,330,8,88,5,375,7,0.024242424242424242,0.056818181818181816,0.018666666666666668,0.02311126674253699,0.03428927680798005,0.017979452054794523
7698,Kenneth Murray,LB,283,5,71,5,333,14,0.0176678445229682,0.07042253521126761,0.042042042042042045,0.01657452092020803,0.03510680379746836,0.040112887405138443
4594,Ifeadi Odenigbo,DE,82,0,138,7,4,0,0,0.050724637681159424,0,0,0.03994706806715739,0
6369,Fred Warner,LB,338,18,71,7,568,15,0.05325443786982249,0.09859154929577464,0.02640845070422535,0.0508772223244301,0.0491495253164557,0.025960413416536657
8456,Hamsah Nasirildeen,LB,4,0,0,NA,3,0,0,NA,0,0,NA,0
488,Kareem Jackson,S,396,12,7,0,661,12,0.030303030303030304,0,0.018154311649016642,0.029294996671023105,0,0.017922102570823033
231,Demario Davis,LB,455,14,91,8,525,19,0.03076923076923077,0.08791208791208792,0.03619047619047619,0.0299792921686747,0.05444211785821119,0.035479281522319044
8495,Joshuah Bledsoe,S,1,0,2,0,19,2,0,0,0.10526315789473684,0,0,0.007063197026022304
6231,Bradley Chubb,LB,96,0,206,8,14,1,0,0.038834951456310676,0.07142857142857142,0,0.034591326980395444,0.0026871401151631474
9496,T.J. Carter,CB,5,0,0,NA,1,0,0,NA,0,0,NA,0
4245,Maliek Collins,DT,243,10,331,4,5,0,0.0411522633744856,0.012084592145015106,0,0.037796304361351334,0.011523865891445882,0
9159,James Houston IV,LB,30,-1,92,7,13,1,-0.03333333333333333,0.07608695652173914,0.07692307692307693,-0.00505902192242833,0.04750663912658601,0.0025086839058278657
9162,Kyron Johnson,LB,9,1,9,0,0,NA,0.1111111111111111,0,NA,0.001768172888015717,0,NA
4588,Elijah Lee,LB,3,0,1,0,3,0,0,0,0,0,0,0
7708,Derrek Tuszka,LB,11,0,0,NA,5,0,0,NA,0,0,NA,0
8446,Ernest Jones,LB,292,9,48,2,347,4,0.030821917808219176,0.041666666666666664,0.011527377521613832,0.029020716462741285,0.013057671381936886,0.011037246731766277
7818,Neville Gallimore,DT,190,5,189,2,1,0,0.02631578947368421,0.010582010582010581,0,0.023007992249939452,0.009239794671229528,0
7304,Zach Allen,DE,213,8,413,15,7,-1,0.03755868544600939,0.03631961259079903,-0.14285714285714285,0.03368787315645882,0.035202463888352215,-0.0013844936708860757
6294,Tremon Smith,CB,80,6,0,NA,116,19,0.075,NA,0.16379310344827586,0.04181184668989547,NA,0.11867327159164333
9180,Roger McCreary,CB,349,17,22,1,718,12,0.04871060171919771,0.045454545454545456,0.016713091922005572,0.04666142351553283,0.003995641118779513,0.016529750096883983
