ID,OffensiveYardarge,Down,ToGo,TotalToGo,Formation,EPA,ScramblerStrength,BlockerStrength,DefenderStrength
16046,7,2,16,55,3-4,-0.082291,0.005826642007296648,0.031765010644784576,0.03811860199671755
16161,21,3,5,78,0-0,2.217137,0.009620583780923406,0.034712080305243136,0.027094471171157566
16178,5,2,3,53,3-4,0.469783,0.03386908499876763,0.03974394314988115,0.010767322799757022
16205,17,2,7,74,0-0,1.406272,0.009620583780923406,0.034712080305243136,0.01922513245444526
16212,9,4,4,40,0-0,-1.618315,0.009620583780923406,0.034712080305243136,0.017475939774143863
16240,7,2,17,64,0-0,-0.479392,0.009620583780923406,0.034712080305243136,0.017475939774143863
16249,18,3,7,51,3-4,2.038176,0.03386908499876763,0.03974394314988115,0.0325462143535824
16419,16,2,15,39,3-4,1.822016,0.0656582180798903,0.040371172852227945,0.015213849791509249
16432,3,2,10,56,4-3,-0.3652,0.0656582180798903,0.040371172852227945,0.031119002633395926
16465,9,2,10,59,0-0,0.832371,0.0656582180798903,0.040371172852227945,0.0314615050966328
16486,2,2,16,69,4-3,-0.866561,0.02730564513909665,0.03466522418023544,0.02714416543556349
16508,20,3,17,69,0-0,2.790726,0.0656582180798903,0.040371172852227945,0.033572613969981145
16805,7,2,9,72,3-4,0.133377,0.03386908499876763,0.03974394314988115,0.031766042131909325
16838,2,1,10,24,3-4,-0.259338,0.03386908499876763,0.03974394314988115,0.02671233527673305
16882,9,1,10,28,3-4,0.345354,0.03386908499876763,0.03974394314988115,0.02332718750059855
16917,12,3,11,21,3-4,1.299258,0.04024106073619201,0.03986718748264072,0.028223455013356585
16929,1,2,8,53,3-4,-0.624955,0.035524105404837164,0.036317746271247967,0.020491679444659294
16944,9,1,10,43,3-4,0.666262,0.04024106073619201,0.03986718748264072,0.03902816325627794
16950,25,1,10,71,3-4,1.368707,0.04024106073619201,0.03986718748264072,0.03293940604052398
17037,18,1,10,72,3-4,0.957677,0.04024106073619201,0.03986718748264072,0.03191841804463264
17038,20,1,10,54,3-4,1.187243,0.04024106073619201,0.03986718748264072,0.03293940604052398
17045,13,2,1,38,3-4,0.829491,0.007066130927046504,0.042331760004245836,5.226203828955316e-4
17112,5,3,20,74,0-0,-0.350754,0.04642580956145555,0.03904400711263111,0.015031577147773822
17136,1,3,6,56,4-3,-1.641546,0.007066130927046504,0.042331760004245836,0.002108483545559782
17162,19,3,8,78,3-4,2.31807,0.0656582180798903,0.040371172852227945,0.019572916591597978
17189,4,1,15,36,4-3,-0.080078,0.04829315624473296,0.045690494697898404,0.02069356410074037
17198,5,1,10,63,3-4,0.14224,0.0656582180798903,0.040371172852227945,0.019702306976274064
17214,18,1,10,28,0-0,0.85431,0.04829315624473296,0.045690494697898404,0.02565209073666811
17259,3,2,6,39,0-0,-0.16259,0.04829315624473296,0.045690494697898404,0.02565209073666811
17312,3,1,10,64,3-4,-0.153842,0.030967027012518366,0.03549909671984428,0.029663585358042664
17349,14,2,8,39,3-4,1.200924,0.030967027012518366,0.03549909671984428,0.025372184066017996
17387,13,4,6,71,0-0,2.978107,0.030967027012518366,0.03549909671984428,0.009677897890590292
17388,7,1,10,58,0-0,0.268267,0.030967027012518366,0.03549909671984428,0.013474819818033203
17420,5,3,9,75,3-4,-0.798158,0.034504702145227065,0.03653071949347159,0.01751482264208455
17429,6,2,8,43,4-3,0.172586,0.034504702145227065,0.03653071949347159,0.02968612313998884
17503,11,3,10,63,3-4,2.138351,0.034504702145227065,0.03653071949347159,0.019891720230106203
17572,1,3,11,27,0-0,-0.802523,0.03732296859373035,0.03967516837635983,0.04243505188421262
17588,12,1,10,71,0-0,0.655462,0.023141448544722432,0.04219553610623163,0.03768095337431037
17770,9,4,5,70,0-0,2.767805,0.015147672864145013,0.03651305666637595,0.03276573170553585
17878,39,3,3,75,4-3,2.875293,0.011854745019880705,0.03659961964607415,0.02432597228717849
17986,7,3,3,69,3-4,1.30498,0.02841837990600531,0.04269592179098982,0.026360953143257593
18192,2,3,3,69,3-4,-1.154723,0.033768230363296674,0.03717675303231835,0.01646751618928885
18214,11,2,17,51,4-3,0.246387,0.043873864767647694,0.039822578434078174,0.020039744996858014
18286,5,1,10,62,3-4,0.096511,0.005826642007296648,0.031765010644784576,0.007805381319773731
18381,1,2,2,72,4-3,-0.715177,0.046262635908784364,0.05799156209254766,0.02007213053060291
18527,1,1,10,28,4-3,-0.347168,0.0190038838273121,0.04132343770290404,0.02320205087117382
18547,2,2,8,69,0-0,-0.58349,0.007066130927046504,0.042331760004245836,0.018075684113758757
18550,8,2,5,36,3-4,0.742932,0.007066130927046504,0.042331760004245836,0.020896912257218424
